City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,west island,-12.1568,96.8225,27.99,78,100,11.83,CC,2025-03-20 12:14:37
68,ushuaia,-54.8,-68.3,5.23,88,61,3.44,AR,2025-03-20 12:14:39
69,kuldiga,56.974,21.9572,9.11,44,74,4.71,LV,2025-03-20 12:14:40
70,aripuana,-9.1667,-60.6333,23.2,95,95,0.49,BR,2025-03-20 12:14:41
71,plastun,44.7561,136.2939,1.12,69,97,0.77,RU,2025-03-20 12:14:42
72,vinita,36.6387,-95.1541,1.12,62,92,0.89,US,2025-03-20 12:14:43
73,guerrero negro,27.9769,-114.0611,15.2,44,2,3.36,MX,2025-03-20 12:14:45
74,enewetak,11.3474,162.3373,26.75,83,69,8.69,MH,2025-03-20 12:14:46
75,albany,42.6001,-73.9662,8.15,87,100,2.24,US,2025-03-20 12:14:47
76,grenaa,56.4158,10.8783,12.12,64,45,0.89,DK,2025-03-20 12:14:48
77,colares,38.7992,-9.4469,17.11,74,40,8.23,PT,2025-03-20 12:14:49
78,stanley,54.868,-1.6985,13.07,36,0,1.54,GB,2025-03-20 12:14:50
79,santa maria da vitoria,-13.3947,-44.1886,30.61,32,90,1.05,BR,2025-03-20 12:14:52
80,edinburgh of the seven seas,-37.0676,-12.3116,14.36,59,91,7.14,SH,2025-03-20 12:14:53
81,prince rupert,54.3161,-130.3201,5.05,87,100,4.63,CA,2025-03-20 12:13:52
82,tralee,52.2704,-9.7026,16.14,63,0,9.26,IE,2025-03-20 12:14:55
83,valley city,46.9233,-98.0032,-8.71,100,0,4.63,US,2025-03-20 12:14:56
84,fort mcmurray,56.7268,-111.381,-14.5,99,100,1.8,CA,2025-03-20 12:14:58
85,luderitz,-26.6481,15.1594,21.1,83,75,5.94,NA,2025-03-20 12:14:59
86,tanjung pandan,-2.75,107.65,25.26,90,90,4.11,ID,2025-03-20 12:15:00
87,dudinka,69.4058,86.1778,-12.93,94,96,4.91,RU,2025-03-20 12:15:01
88,saldanha,-33.0117,17.9442,19.53,87,100,3.72,ZA,2025-03-20 12:15:02
89,utrik,11.2278,169.8474,26.93,79,25,10.11,MH,2025-03-20 12:15:03
90,kayangel,8.0823,134.7173,28.43,74,84,6.16,PW,2025-03-20 12:15:05
91,ust-nera,64.5667,143.2,-22.03,99,98,0.81,RU,2025-03-20 12:15:06
92,namibe,-15.1961,12.1522,27.31,71,58,4.68,AO,2025-03-20 12:15:07
93,lasam,18.0652,121.6006,19.35,95,100,1.43,PH,2025-03-20 12:15:08
94,bredasdorp,-34.5322,20.0403,29.35,43,92,3.81,ZA,2025-03-20 12:15:09
95,flying fish cove,-10.4217,105.6791,27.82,83,20,5.14,CX,2025-03-20 12:15:11
96,puerto aysen,-45.4,-72.7,13.85,100,100,2.2,CL,2025-03-20 12:15:12
97,wladyslawowo,54.7909,18.4009,14.96,41,0,2.59,PL,2025-03-20 12:15:13
98,galesong,-5.3166,119.3661,26.58,82,99,1.66,ID,2025-03-20 12:15:14
99,colonia,50.9333,6.95,19.41,40,0,2.06,DE,2025-03-20 12:15:15
100,harper,4.375,-7.7169,29.59,68,100,4.42,LR,2025-03-20 12:15:16
101,vallenar,-28.5708,-70.7581,18.37,64,0,0.52,CL,2025-03-20 12:15:18
102,senj,44.9894,14.9058,11.16,54,0,2.01,HR,2025-03-20 12:15:19
103,iskateley,67.6803,53.1512,-4.3,85,99,5.56,RU,2025-03-20 12:15:20
104,iquitos,-3.7481,-73.2472,24.02,100,40,1.03,PE,2025-03-20 12:15:21
105,lompoc,34.6391,-120.4579,6.5,81,0,0.0,US,2025-03-20 12:15:22
106,constantia,44.1833,28.65,13.38,51,28,3.68,RO,2025-03-20 12:15:24
